店家名稱 (中文),店家名稱 (韓文),分類,必點 / 必買,價格參考
清和屋 乙支路直營店,청와옥 을지로3가직영점,美食,招牌：豬肉湯飯 (돼지국밥)、內臟湯飯 (내장국밥)；加鹽巴調味更佳,₩10,000-15,000
倫敦貝果博物館 安國店,런던베이글뮤지엄 안국점,早午餐,必點：大蒜貝果 (마늘베이글)、奶油起司抹醬 (크림치즈)、火腿起司貝果；需排隊取號,₩5,000-12,000
新仙雪濃湯 明洞店,신선설농탕 명동점,美食,招牌：牛骨雪濃湯 (설농탕)；建議加鹽巴、蔥花調味；附白飯和蘿蔔泡菜,₩12,000-15,000
無垢屋,무구옥,美食,必點：鮑魚粥 (전복죽)、海鮮粥 (해물죽)、南瓜粥 (호박죽)；12:00開放當日訂位,₩15,000-25,000
朝朝刀削麵 市廳店,조조칼국수 시청점,美食,招牌：手工刀削麵 (칼국수)、餃子 (만두)、海鮮刀削麵 (해물칼국수),₩9,000-13,000
豬仔存錢筒,돼지저금통,美食,必點：鮮烤五花肉 (삼겹살)、豬頸肉 (목살)、蒜瓣烤肉；搭配包菜和醬料,₩15,000-20,000/人
橋村筆房,교촌필방,美食,招牌：炭火雞肉串 (닭꼬치)、雞肉丸串、雞皮串；週一公休,₩3,000-6,000/串
JO & DAWSON,조앤도슨,咖啡甜點,必點：焦糖布丁 (카라멜 푸딩)、巴斯克起司蛋糕、咖啡；人氣名店需排隊,₩8,000-15,000
達摩吉 乙支路店,달마지 을지로점,美食,推薦：炸雞 (치킨)、啤酒套餐；乙支路復古風格酒吧,₩18,000-25,000
龍龍先生 聖水店,용용선생 성수점,美食,必點：麻辣香鍋 (마라샹궈)、水煮牛肉、擔擔麵；人氣中華料理,₩15,000-25,000
鐘三六,종삼육,美食,招牌：韓牛燒肉 (한우)、牛五花 (차돌박이)、調味牛排骨；鐘路三街老店,₩30,000-50,000/人
孫家燉雞,손가네닭한마리,美食,必點：一隻雞 (닭한마리)；雞肉燉鍋、加麵條收尾；隱藏版人氣名店,₩25,000-30,000
統營蒸牡蠣,통영굴찜,美食,招牌：蒸牡蠣套餐 (굴찜)、牡蠣煎餅 (굴전)；季節限定 (冬季最佳),₩25,000-40,000
無垢屋 聖水店,무구옥 성수점,美食,必點：鮑魚粥 (전복죽)、南瓜粥 (호박죽)、蔬菜粥；聖水分店,₩15,000-25,000
漢南洞馬鈴薯排骨湯,한남동감자탕,美食,招牌：馬鈴薯排骨湯 (감자탕)、豬骨湯、加泡麵更豐富；24小時營業,₩12,000-20,000
Parole & Langue,파롤앤랑그,咖啡甜點,必點：塔類甜點 (타르트)、水果塔、巧克力塔、咖啡；延南洞熱門店,₩8,000-15,000
Butty三明治,버티샌드위치,咖啡甜點,招牌：巧巴達三明治 (치아바타 샌드위치)、火腿起司款、雞蛋沙拉款,₩8,000-12,000
